Brick;Part;Name;Quantity;Picture;Color code
4246901;50951;TYRE LOW NARROW Ø14.58 X 6.24;1;;26 - Black
6024585;11147;CABEL 500 MM;1;;40 - Transparent, 26 - Black
6009430;95658;MS 2013 ENGINE;1;;21 - Bright Red, 194 - Medium Stone Grey, 1 - White
;95646;MS-EV3, P-BRICK;1;;1 - White, 194 - Medium Stone Grey, 40 - Transparent, 199 - Dark Stone Grey, 315 - Silver Metallic
4142822;32523;TECHNIC 3M BEAM;4;;26 - Black
4140429;32316;TECHNIC 5M BEAM;3;;26 - Black
4128589;32316;TECHNIC 5M BEAM;1;;any distinctive color
3252426;32524;TECHNIC 7M BEAM;3;;26 - Black
4120017;32140;TECHNIC ANG. BEAM 4X2 90 DEG;2;;26 - Black
4164422;41239;TECHNIC 13M BEAM;2;;26 - Black
4128603;32278;TECHNIC 15M BEAM;2;;26 - Black
4142823;32526;TECHNIC ANG. BEAM 3X5 90 DEG.;2;;26 - Black
4128593;32348;TECHNIC ANGULAR BEAM 4X4;1;;26 - Black
3227126;32271;TECHNIC ANGULAR BEAM 3X7;3;;26 - Black
4107578;32009;DOUBLE ANGULAR BEAM 3X7 45°;6;;26 - Black
663226;6632;TECHNIC LEVER 3M;3;;26 - Black
4211573;32123;1/2 BUSH;1;;194 - Medium Stone Grey
4109810;32062;2M CROSS AXLE W. GROOVE;1;;26 - Black
4142865;32062;2M CROSS AXLE W. GROOVE;4;;21 - Bright Red
278026;2780;CONNECTOR PEG W. FRICTION;10;;26 - Black
451926;4519;CROSS AXLE 3M;3;;26 - Black
4211815;4519;CROSS AXLE 3M;2;;194 - Medium Stone Grey
4189110;43093;CONN.BUSH W.FRIC./CROSSALE;12;;23 - Bright Blue
370526;3705;CROSS AXLE 4M;3;;26 - Black
4514553;6558;CONNECTOR PEG W. FRICTION 3M;20;;23 - Bright Blue
4211758;42610;HUB Ø11,2 X 7,84;1;;194 - Medium Stone Grey
4515184;60483;BEAM 1X2 W/CROSS AND HOLE;1;;194 - Medium Stone Grey
4560177;87083;CROSS AXLE 4M WITH END STOP;2;;199 - Dark Stone Grey
4211865;32054;2M FRIC. SNAP W/CROSS HOLE;1;;194 - Medium Stone Grey
4121667;32184;DOUBLE CROSS BLOCK;1;;26 - Black
4173970;42003;CROSS BLOCK 3M;2;;26 - Black
;55013;CROSS AXLE 8M WITH END STOP;1;;194 - Medium Stone Grey
4119589;32138;MODULE BUSH;2;;26 - Black
4528038;61904;BLOCK 3X4X2;1;;199 - Dark Stone Grey
;61927;Linear Actuator 10-15 M;1;;199 - Dark Stone Grey, 194 - Medium Stone Grey, 106 - Bright Orange, 131 - Silver
4540797;64178;BEAM H. FRAME 5X11 Ø4.85;1;;194 - Medium Stone Grey
;6589;CONICAL WHEEL Z12;1;;329 - White Glow
4211885;32198;BEVEL GEAR Z20;1;;194 - Medium Stone Grey
;;Total:;103;;
