Brick;Part;Name;Quantity;Picture;Color code
4246901;50951;TYRE LOW NARROW Ø14.58 X 6.24;1;;26 - Black
6024585;11147;CABEL 500 MM;1;;40 - Transparent, 26 - Black
6057952;95658;MS 2013 ENGINE;1;;21 - Bright Red, 194 - Medium Stone Grey, 1 - White
6009996;95646;MS-EV3, P-BRICK;1;;1 - White, 194 - Medium Stone Grey, 40 - Transparent, 199 - Dark Stone Grey, 315 - Silver Metallic
4142822;32523;TECHNIC 3M BEAM;2;;26 - Black
4142135;32316;TECHNIC 5M BEAM;1;;26 - Black
4495935;32524;TECHNIC 7M BEAM;2;;26 - Black
4120017;32140;TECHNIC ANG. BEAM 4X2 90 DEG;3;;26 - Black
4645732;40490;TECHNIC 9M BEAM;1;;26 - Black
4542573;32278;TECHNIC 15M BEAM;2;;26 - Black
4142823;32526;TECHNIC ANG. BEAM 3X5 90 DEG.;2;;26 - Black
4128593;32348;TECHNIC ANGULAR BEAM 4X4;2;;26 - Black
4140327;32271;TECHNIC ANGULAR BEAM 3X7;3;;26 - Black
4111998;32009;DOUBLE ANGULAR BEAM 3X7 45°;6;;26 - Black
4107828;6632;TECHNIC LEVER 3M;1;;26 - Black
4211573;32123;1/2 BUSH;1;;194 - Medium Stone Grey
4109810;32062;2M CROSS AXLE W. GROOVE;1;;26 - Black
4142865;32062;2M CROSS AXLE W. GROOVE;2;;21 - Bright Red
4121715;2780;CONNECTOR PEG W. FRICTION;15;;26 - Black
451926;4519;CROSS AXLE 3M;5;;26 - Black
4225927;6562;CONNECTOR PEG/CROSS AXLE;13;;23 - Bright Blue
4514553;6558;CONNECTOR PEG W. FRICTION 3M;15;;23 - Bright Blue
4211758;42610;HUB Ø11,2 X 7,84;1;;194 - Medium Stone Grey
6006140;60483;BEAM 1X2 W/CROSS AND HOLE;4;;26 - Black
4515184;60483;BEAM 1X2 W/CROSS AND HOLE;1;;194 - Medium Stone Grey
4535768;60485;CROSS AXLE 9M;1;;194 - Medium Stone Grey
;55013;CROSS AXLE 8M WITH END STOP;1;;194 - Medium Stone Grey
4119589;32138;MODULE BUSH;2;;26 - Black
4528038;61904;BLOCK 3X4X2;1;;199 - Dark Stone Grey
4528037;61927;Linear Actuator 10-15 M;1;;199 - Dark Stone Grey, 194 - Medium Stone Grey, 106 - Bright Orange, 131 - Silver
4540797;64178;BEAM H. FRAME 5X11 Ø4.85;1;;194 - Medium Stone Grey
;6589;CONICAL WHEEL Z12;1;;329 - White Glow
;32198;BEVEL GEAR Z20;1;;329 - White Glow
;;Total:;96;;
